"AA","AB","AC","BA","BB","BC","CA","CB","CC"
"40368374",0.666666666666667,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0,0,0
"40368526",0.4,0,0.2,0.5,0.5,0,1,0,0
"40368552",0,0.666666666666667,0,0.428571428571429,0.428571428571429,0,0,0,0
"40368555",0.6,0.4,0,0.666666666666667,0,0,0,0,0
"40368577",0.6,0.2,0,1,0,0,0,0,0
"40368581",0.333333333333333,0.333333333333333,0,0.333333333333333,0.5,0.166666666666667,0,1,0
"40368617",0.2,0,0.4,1,0,0,0.5,0,0.25
"40368632",0.571428571428571,0,0.285714285714286,1,0,0,1,0,0
"40368725",0.25,0.5,0,0.666666666666667,0.333333333333333,0,1,0,0
"40368752",0.6,0.2,0,0.5,0.25,0,0,0,0
"40368763",0.333333333333333,0.333333333333333,0,0.5,0.5,0,0,1,0
"40368801",0.25,0.5,0,0.5,0.25,0.25,0,1,0
"40368809",0.6,0.2,0,1,0,0,0,0,0
"40368897",0,0.75,0,0.666666666666667,0.333333333333333,0,0,0,0
"40368908",0.5,0.25,0,1,0,0,0,0,0
"40368971",0.4,0.2,0.2,1,0,0,0.333333333333333,0.333333333333333,0.333333333333333
"40369012",0.4,0.4,0,0.6,0.4,0,0,0,0
"40369016",0.333333333333333,0.5,0,0.5,0.5,0,0,0,0
"40369017",0.6,0.2,0,1,0,0,0,0,0
"40369051",0.75,0,0,0,0,0,0,0,0
"40369087",0.727272727272727,0.0909090909090909,0.0909090909090909,1,0,0,1,0,0
"40369097",0.2,0.4,0.2,1,0,0,1,0,0
"40369111",0.6,0,0.2,1,0,0,0.5,0.5,0
"40369139",0.666666666666667,0,0,0,0,0,0,0,0
"40369158",0.166666666666667,0.5,0.166666666666667,1,0,0,1,0,0
"40369165",0,0.666666666666667,0,0.5,0.5,0,0,0,0
"40369213",0,0,0.5,0,0.6,0.2,0.666666666666667,0.333333333333333,0
"40369262",0.333333333333333,0,0,0,0,0,0,0,0
"40369299",0,0.333333333333333,0,0.333333333333333,0.333333333333333,0.333333333333333,1,0,0
"40369400",0.166666666666667,0.5,0.166666666666667,0.6,0.4,0,1,0,0
"40369418",0.5,0.333333333333333,0,1,0,0,0,0,0
"40369461",0,0.333333333333333,0.333333333333333,0.25,0.5,0.25,0.5,0.25,0.25
"40369482",0.333333333333333,0.333333333333333,0,0.2,0.6,0,0,0,0
"40369495",0.666666666666667,0.166666666666667,0,0.5,0.5,0,0,0,0
"40369521",0.4,0.4,0,0.333333333333333,0.666666666666667,0,0,0,0
"40369535",0.25,0,0,0,0,0,0,0,0
"40369580",0,0.5,0.5,0.333333333333333,0.333333333333333,0,0,1,0
"40369597",0.5,0,0.25,0,0,0,1,0,0
"40369601",0,0.166666666666667,0.333333333333333,0.75,0.25,0,0.6,0,0.2
"40369608",0.333333333333333,0.333333333333333,0,1,0,0,0,0,0
"40369619",0.25,0.5,0,1,0,0,0,0,0
"40369641",0.5,0,0.25,0,0,0,1,0,0
"40369667",0.75,0,0,0,0,0,0,0,0
"40369669",0.5,0.25,0,1,0,0,0,0,0
"40369675",0.75,0,0,0,0,0,0,0,0
"40369676",0.75,0,0,0,0,0,0,0,0
"40369716",0.666666666666667,0,0,0,0,0,0,0,0
"40369724",0.5,0,0.25,0,0,0,0.333333333333333,0,0.333333333333333
"40369753",0.25,0.25,0.25,0.142857142857143,0.571428571428571,0.142857142857143,0.5,0.5,0
"40369759",0.285714285714286,0.428571428571429,0.142857142857143,0.75,0.25,0,1,0,0
"40369775",0.2,0.2,0.4,0.333333333333333,0.333333333333333,0.333333333333333,1,0,0
"40369782",0.333333333333333,0.333333333333333,0.166666666666667,1,0,0,1,0,0
"40369810",0.833333333333333,0,0,0,0,0,0,0,0
"40369849",0.25,0.5,0,0.428571428571429,0.571428571428571,0,0,0,0
"40369857",0,0,1,0.333333333333333,0,0.333333333333333,0,1,0
"40369869",0.4,0.2,0.2,1,0,0,1,0,0
"40369878",0.5,0.25,0,0.5,0.5,0,0,0,0
"40369895",0,0.75,0.25,0.333333333333333,0.333333333333333,0.166666666666667,0.5,0.5,0
"40369915",0.166666666666667,0.5,0.166666666666667,1,0,0,1,0,0
"40369928",0.4,0,0.6,1,0,0,0.5,0.25,0
"40369940",0.428571428571429,0.285714285714286,0.142857142857143,1,0,0,1,0,0
"40369954",0,0,0,0.333333333333333,0.666666666666667,0,0,1,0
"40369958",0.25,0.5,0,1,0,0,0,0,0
"40369983",0,0.333333333333333,0.666666666666667,0.25,0.25,0.25,0.5,0.5,0
"40370015",0.5,0.333333333333333,0,0.5,0.5,0,0,0,0
"40370091",0.428571428571429,0.285714285714286,0.285714285714286,0.666666666666667,0,0,1,0,0
"40370146",0.75,0,0,0,0,0,0,0,0
"40370150",0.714285714285714,0.142857142857143,0,0.5,0.5,0,0,0,0
"40370167",0.4,0.4,0,0.5,0,0.5,1,0,0
"40370168",0.4,0,0.2,0.666666666666667,0.333333333333333,0,1,0,0
"40370238",0.5,0.25,0,0.333333333333333,0.333333333333333,0,0,0,0
"40370239",0.5,0.166666666666667,0.166666666666667,1,0,0,1,0,0
"40370243",0.25,0.5,0,1,0,0,0,0,0
"40370342",0.666666666666667,0,0,0.5,0.5,0,0,0,0
"40370356",0.5,0.25,0,0.5,0,0.5,0.5,0,0.5
"40370425",0.333333333333333,0,0.333333333333333,0.333333333333333,0.333333333333333,0,0,1,0
"40370436",0.333333333333333,0,0.333333333333333,0,0.5,0,1,0,0
"40370449",0.6,0.2,0,1,0,0,0,0,0
"40370463",0.8,0,0,1,0,0,0,0,0
"40370497",0.666666666666667,0,0,0,0,0,0,0,0
"40370507",0,0.5,0.5,0.666666666666667,0,0,0.5,0,0.25
"40370519",0.6,0,0,1,0,0,0,0,0
"40370638",0.2,0.2,0.4,1,0,0,1,0,0
"40370745",0.25,0.25,0.25,1,0,0,1,0,0
"40370759",0,0.333333333333333,0.333333333333333,0,0.6,0.2,0.75,0.25,0
"40370766",0.5,0.333333333333333,0,1,0,0,0,0,0
"40370781",0.2,0.8,0,0.8,0,0.2,0,0,0
"40370856",0.6,0.2,0,1,0,0,0,0,0
"40370910",0.166666666666667,0.5,0.166666666666667,1,0,0,1,0,0
"40370916",0.333333333333333,0.666666666666667,0,0.25,0.25,0.25,0.5,0,0
"40370917",0.6,0,0.2,0,0,0,1,0,0
"40370935",0.333333333333333,0.166666666666667,0.333333333333333,1,0,0,1,0,0
"40370939",0.6,0.2,0,1,0,0,1,0,0
"40370946",0,0.4,0.6,0.5,0.333333333333333,0,0.666666666666667,0.333333333333333,0
"40370994",0.25,0.25,0,1,0,0,1,0,0
"40371281",0.6,0.2,0,1,0,0,0,0,0
"40371313",0.75,0,0,0,0,0,1,0,0
"40371323",0.666666666666667,0,0,0,0,0,0,0,0
"40371419",0.333333333333333,0,0.333333333333333,0.666666666666667,0.333333333333333,0,0,0.25,0.75
"40371454",0.4,0.2,0.2,1,0,0,1,0,0
"40371588",0.571428571428571,0.285714285714286,0,0.75,0.25,0,0,0,0
"40371614",0.5,0,0,0,0,0,1,0,0
"40371684",0.833333333333333,0,0,1,0,0,0,0,0
"40371718",0.4,0.4,0,1,0,0,0,0,0
"40371727",0,0.666666666666667,0,0.4,0.4,0.2,0.5,0.5,0
"40371771",0.5,0,0.5,0,0,1,0,0.5,0
"40371805",0.75,0,0,0,0,0,0,0,0
"40371807",0.25,0.25,0,1,0,0,0,0,0
"40371906",0.5,0,0.25,0.333333333333333,0.333333333333333,0.333333333333333,0.5,0.5,0
"40371941",0.666666666666667,0.333333333333333,0,0.333333333333333,0,0.666666666666667,0.333333333333333,0,0.333333333333333
"40371988",0.166666666666667,0.166666666666667,0.333333333333333,0.666666666666667,0,0.333333333333333,0.5,0,0.25
"40372016",0,0.333333333333333,0.333333333333333,1,0,0,1,0,0
"40372112",0,0.6,0.2,0.8,0.2,0,1,0,0
"40372196",0.25,0.25,0,0.666666666666667,0.333333333333333,0,0,0,0
"40372258",0.25,0.25,0,0.666666666666667,0,0.333333333333333,0,1,0
"40372262",0.25,0.5,0,1,0,0,0,0,0
"40372357",0.333333333333333,0,0,1,0,0,1,0,0
"40372417",0.428571428571429,0.142857142857143,0.285714285714286,1,0,0,1,0,0
"40372422",0.333333333333333,0.333333333333333,0.166666666666667,1,0,0,1,0,0
"40372426",0.666666666666667,0.166666666666667,0,1,0,0,0,0,0
"40372433",0.8,0,0,0,0,0,0,0,0
"40372445",0.571428571428571,0.285714285714286,0,0.5,0,0.5,0,0,0
"40372466",0,0,0.75,0.5,0.5,0,0.4,0.2,0.2
"40372471",0.2,0.4,0.2,0.5,0,0.5,0.666666666666667,0,0
"40372485",0.75,0,0,1,0,0,0,0,0
"40372523",0.75,0,0,0,0,0,0,0,0
"40372596",0.5,0.25,0,1,0,0,0,0,0
"40372618",0.2,0.4,0.2,0.5,0.5,0,1,0,0
"40372631",0.166666666666667,0.5,0.166666666666667,1,0,0,1,0,0
"40372694",0.2,0.6,0,1,0,0,1,0,0
"40372787",0.2,0.4,0,0.75,0,0,1,0,0
"40372831",0.666666666666667,0,0,0,0,0,0,0,0
"40372944",0.285714285714286,0.428571428571429,0.142857142857143,0.75,0.25,0,1,0,0
"40372971",0.5,0,0.5,0,0,0,0,1,0
"40372999",0.5,0.25,0,1,0,0,0,0,0
"40373113",0.6,0.2,0,1,0,0,0,0,0
"40373118",0.166666666666667,0.333333333333333,0.333333333333333,0.666666666666667,0,0.333333333333333,0.666666666666667,0.333333333333333,0
"40373149",0.5,0.5,0,0,0,1,0,0,0.5
"40373160",0.8,0,0,0,0,0,0,0,0
"40373272",0.2,0.4,0.2,1,0,0,1,0,0
"40373318",0.5,0,0.25,0,0,0,0.333333333333333,0,0.333333333333333
"40373462",0.2,0.6,0,1,0,0,0,0,0
"40373500",0.8,0,0,1,0,0,0,0,0
"40373537",0,0.5,0.25,0.4,0.4,0.2,0.666666666666667,0.333333333333333,0
"40373597",0.5,0.5,0,0,0.5,0,0,0,0
"40373656",0.75,0,0,0.5,0.5,0,0,0,0
"40373669",0.666666666666667,0,0,0,0,0,0,0,0
"40373794",0.5,0,0.25,0,0,0,1,0,0
"40373888",0,0.8,0,0.666666666666667,0.333333333333333,0,1,0,0
"40373889",0.75,0,0,1,0,0,0,0,0
"40373909",0.6,0.4,0,0.666666666666667,0,0,0,0,0
"40373912",0.2,0.4,0.2,1,0,0,1,0,0
"40373937",0.4,0.2,0.2,1,0,0,1,0,0
"40373938",0.714285714285714,0.142857142857143,0,0.666666666666667,0.333333333333333,0,0,1,0
"40373948",0.166666666666667,0.5,0.166666666666667,0.666666666666667,0,0,1,0,0
"40373984",0,0.666666666666667,0.166666666666667,0.5,0,0,0.5,0.5,0
"40374015",0.5,0.25,0,1,0,0,0,0,0
"40374088",0.166666666666667,0.333333333333333,0.166666666666667,0.6,0.2,0,0.333333333333333,0.333333333333333,0.333333333333333
"40374131",0.166666666666667,0.166666666666667,0.5,1,0,0,0.75,0.25,0
"40374136",0,1,0,0.5,0.25,0,0,0,0
"40374192",0,0.8,0,1,0,0,0,0,0
"40374259",0.333333333333333,0,0,0.25,0.25,0.5,0.333333333333333,0.666666666666667,0
"40374266",0.25,0.5,0,1,0,0,0,0,0
"40374268",0,0,0,0.125,0.5,0.25,0,1,0
"40374277",0,0.8,0,1,0,0,0,0,0
"40374325",0,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.5,0,0
"40374395",0.666666666666667,0,0,0,0,0,0,0,0
"40374415",0,0.333333333333333,0.333333333333333,0.5,0.166666666666667,0,0,1,0
"40374460",0.5,0,0.25,0,0,0,1,0,0
"40374507",0,0.5,0.166666666666667,1,0,0,1,0,0
"40374559",0.571428571428571,0.285714285714286,0,1,0,0,0,0,0
"40374711",0.5,0,0,0,0,0,0,0,0
"40374814",0.25,0.5,0,0.75,0.25,0,0,0,0
"40374834",0.285714285714286,0.428571428571429,0.142857142857143,1,0,0,1,0,0
"40374968",0.571428571428571,0.142857142857143,0,0.5,0.25,0,0,0,0
"40374974",0,0.5,0,0.333333333333333,0.666666666666667,0,0,1,0
"40375108",0.8,0,0,0,0.666666666666667,0.333333333333333,1,0,0
